Anno;Quartiere;Genere;Ipotesi_alta;Ipotesi_media;Ipotesi_bassa
2013;Parco Monlué - Ponte Lambro;Femmine;6;6;6
2013;Parco Monlué - Ponte Lambro;Maschi;6;6;6
2013;Porta Romana;Femmine;81;81;81
2013;Porta Romana;Maschi;69;69;69
2013;Portello;Femmine;55;55;55
2013;Portello;Maschi;51;51;51
2013;QT 8;Femmine;32;32;32
2013;QT 8;Maschi;22;22;22
2013;Quarto Cagnino;Femmine;37;37;37
2013;Quarto Cagnino;Maschi;45;45;45
2013;Quarto Oggiaro;Femmine;186;186;186
2013;Quarto Oggiaro;Maschi;161;161;160
2013;Quinto Romano;Femmine;17;17;17
2013;Quinto Romano;Maschi;20;20;20
2013;Ripamonti;Femmine;60;60;60
2013;Ripamonti;Maschi;63;63;63
2013;Rogoredo;Femmine;25;25;25
2013;Rogoredo;Maschi;28;28;28
2013;Ronchetto S/N;Femmine;69;69;69
2013;Ronchetto S/N;Maschi;76;76;76
2013;S. Cristoforo;Femmine;60;60;60
2013;S. Cristoforo;Maschi;55;55;55
2013;S. Siro;Femmine;61;61;61
2013;S. Siro;Maschi;65;65;65
2013;Sarpi;Femmine;174;174;174
2013;Sarpi;Maschi;147;147;147
2013;Scalo Romana;Femmine;31;31;31
2013;Scalo Romana;Maschi;39;39;39
2013;Selinunte;Femmine;170;170;170
2013;Selinunte;Maschi;119;119;119
2013;Stadera;Femmine;163;163;163
2013;Stadera;Maschi;151;151;151
