"Cittadinanza";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Belize";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Benin (Dahomey)";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;3,00;0,00;7,00;12,00;13,00;12,00;15,00;16,00;19,00;20,00;19,00;26,00;10,00;11,00;15,00;16,00;17,00;13,00;14,00;16,00;19,00;26,00;26,00;29,00
"Bhutan";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00
"Bielorussia";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;2,00;3,00;4,00;4,00;8,00;12,00;18,00;22,00;39,00;60,00;78,00;84,00;88,00;105,00;130,00;169,00;217,00;237,00;265,00
"Bolivia";2,00;2,00;2,00;13,00;16,00;12,00;14,00;20,00;17,00;19,00;19,00;20,00;61,00;0,00;52,00;46,00;43,00;43,00;51,00;66,00;71,00;97,00;108,00;119,00;112,00;301,00;411,00;483,00;530,00;582,00;787,00;1206,00;1695,00;2028,00;2155,00;2190,00
"Bosnia-Erzegovina";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;41,00;110,00;137,00;153,00;172,00;181,00;219,00;241,00;249,00;160,00;197,00;219,00;236,00;246,00;242,00;243,00;241,00;228,00;290,00;282,00;270,00
"Brasile";83,00;88,00;107,00;153,00;253,00;273,00;287,00;312,00;367,00;426,00;471,00;621,00;568,00;900,00;1022,00;1096,00;1173,00;1201,00;1347,00;1669,00;1707,00;1864,00;2035,00;2062,00;1530,00;1962,00;2580,00;2602,00;2612,00;2588,00;2867,00;3164,00;3498,00;3874,00;3685,00;2988,00
"Bulgaria";22,00;22,00;26,00;29,00;97,00;98,00;104,00;110,00;81,00;90,00;91,00;93,00;79,00;0,00;147,00;166,00;180,00;213,00;257,00;355,00;404,00;546,00;626,00;649,00;559,00;819,00;915,00;973,00;1079,00;1193,00;1324,00;1490,00;1570,00;1786,00;1704,00;1549,00
"Burkina Faso (Alto Volta)";0,00;0,00;0,00;1,00;2,00;2,00;2,00;1,00;0,00;1,00;4,00;5,00;4,00;0,00;6,00;13,00;16,00;20,00;23,00;34,00;31,00;31,00;31,00;33,00;33,00;37,00;38,00;41,00;40,00;40,00;50,00;47,00;43,00;58,00;50,00;54,00
"Burundi";4,00;6,00;7,00;9,00;9,00;9,00;9,00;9,00;7,00;10,00;10,00;9,00;8,00;0,00;12,00;12,00;16,00;15,00;17,00;23,00;22,00;28,00;26,00;25,00;15,00;15,00;16,00;16,00;15,00;13,00;13,00;11,00;11,00;11,00;11,00;11,00
