Anno evento;Genere;Eta decesso;Cittadinanza;Luogo residenza;Numerosità
2003;Maschi;34;Marocco;Milano;1
2003;Maschi;34;Tunisia;Estero;1
2003;Maschi;35;Italia;Altro comune italiano;9
2003;Maschi;35;Italia;Milano;8
2003;Maschi;35;Senegal;Estero;1
2003;Maschi;35;Tunisia;Estero;1
2003;Maschi;36;Egitto;Estero;1
2003;Maschi;36;Italia;Altro comune italiano;3
2003;Maschi;36;Italia;Estero;1
2003;Maschi;36;Italia;Milano;6
2003;Maschi;36;Romania;Estero;2
2003;Maschi;37;Italia;Altro comune italiano;14
2003;Maschi;37;Italia;Milano;10
2003;Maschi;37;Tunisia;Estero;1
2003;Maschi;38;Albania;Altro comune italiano;1
2003;Maschi;38;Cinese, Repubblica Popolare;Altro comune italiano;1
2003;Maschi;38;Italia;Altro comune italiano;11
2003;Maschi;38;Italia;Milano;8
2003;Maschi;38;Sri Lanka (ex Ceylon);Milano;1
2003;Maschi;39;Italia;Altro comune italiano;16
2003;Maschi;39;Italia;Milano;5
2003;Maschi;40;Italia;Altro comune italiano;10
2003;Maschi;40;Italia;Milano;10
2003;Maschi;41;Italia;Altro comune italiano;10
2003;Maschi;41;Italia;Estero;1
2003;Maschi;41;Italia;Milano;15
2003;Maschi;42;Italia;Altro comune italiano;16
2003;Maschi;42;Italia;Milano;11
2003;Maschi;42;Marocco;Milano;1
2003;Maschi;43;Italia;Altro comune italiano;9
2003;Maschi;43;Italia;Milano;13
2003;Maschi;44;Albania;Estero;1
2003;Maschi;44;Italia;Altro comune italiano;6
2003;Maschi;44;Italia;Milano;13
2003;Maschi;45;Italia;Altro comune italiano;11
2003;Maschi;45;Italia;Milano;16
2003;Maschi;45;Moldova;Estero;1
2003;Maschi;46;Italia;Altro comune italiano;8
2003;Maschi;46;Italia;Milano;18
2003;Maschi;46;Romania;Estero;1
2003;Maschi;47;Italia;Altro comune italiano;6
2003;Maschi;47;Italia;Estero;1
2003;Maschi;47;Italia;Milano;7
2003;Maschi;48;Italia;Altro comune italiano;9
2003;Maschi;48;Italia;Estero;1
2003;Maschi;48;Italia;Milano;17
2003;Maschi;48;Pakistan;Milano;1
2003;Maschi;49;Eritrea;Estero;1
2003;Maschi;49;Italia;Altro comune italiano;17
2003;Maschi;49;Italia;Milano;25
2003;Maschi;50;Italia;Altro comune italiano;14
2003;Maschi;50;Italia;Milano;14
2003;Maschi;51;Italia;Altro comune italiano;13
2003;Maschi;51;Italia;Milano;21
2003;Maschi;52;Italia;Altro comune italiano;17
2003;Maschi;52;Italia;Milano;25
2003;Maschi;53;Egitto;Milano;1
2003;Maschi;53;Italia;Altro comune italiano;15
2003;Maschi;53;Italia;Milano;25
2003;Maschi;54;Italia;Altro comune italiano;21
2003;Maschi;54;Italia;Milano;27
2003;Maschi;55;Italia;Altro comune italiano;19
2003;Maschi;55;Italia;Milano;42
2003;Maschi;56;Italia;Altro comune italiano;31
2003;Maschi;56;Italia;Milano;37
2003;Maschi;57;Italia;Altro comune italiano;21
2003;Maschi;57;Italia;Estero;1
2003;Maschi;57;Italia;Milano;48
2003;Maschi;58;Italia;Altro comune italiano;23
2003;Maschi;58;Italia;Milano;38
2003;Maschi;58;Perù;Milano;1
2003;Maschi;58;Russa, Federazione;Estero;1
2003;Maschi;59;Colombia;Estero;1
2003;Maschi;59;Italia;Altro comune italiano;21
2003;Maschi;59;Italia;Milano;46
2003;Maschi;60;Italia;Altro comune italiano;23
2003;Maschi;60;Italia;Estero;1
2003;Maschi;60;Italia;Milano;47
2003;Maschi;60;Stati Uniti d'America;Estero;1
2003;Maschi;61;Italia;Altro comune italiano;39
2003;Maschi;61;Italia;Milano;49
2003;Maschi;62;Cinese, Repubblica Popolare;Milano;1
2003;Maschi;62;Giappone;Milano;1
2003;Maschi;62;Italia;Altro comune italiano;32
2003;Maschi;62;Italia;Milano;70
2003;Maschi;63;Italia;Altro comune italiano;38
2003;Maschi;63;Italia;Milano;78
2003;Maschi;64;Argentina;Estero;1
2003;Maschi;64;Italia;Altro comune italiano;35
2003;Maschi;64;Italia;Milano;88
2003;Maschi;65;Italia;Altro comune italiano;31
2003;Maschi;65;Italia;Estero;1
2003;Maschi;65;Italia;Milano;85
2003;Maschi;66;Italia;Altro comune italiano;26
2003;Maschi;66;Italia;Milano;84
2003;Maschi;67;Iran;Milano;1
2003;Maschi;67;Italia;Altro comune italiano;39
2003;Maschi;67;Italia;Milano;98
2003;Maschi;68;Italia;Altro comune italiano;37
2003;Maschi;68;Italia;Estero;1
2003;Maschi;68;Italia;Milano;99
2003;Maschi;69;Italia;Altro comune italiano;35
2003;Maschi;69;Italia;Milano;118
2003;Maschi;70;Italia;Altro comune italiano;48
2003;Maschi;70;Italia;Estero;2
2003;Maschi;70;Italia;Milano;113
2003;Maschi;71;Italia;Altro comune italiano;50
2003;Maschi;71;Italia;Milano;134
2003;Maschi;72;Italia;Altro comune italiano;54
2003;Maschi;72;Italia;Milano;165
2003;Maschi;72;Perù;Estero;1
2003;Maschi;73;Italia;Altro comune italiano;43
2003;Maschi;73;Italia;Milano;157
2003;Maschi;74;Italia;Altro comune italiano;49
2003;Maschi;74;Italia;Milano;181
2003;Maschi;75;Iran;Milano;1
2003;Maschi;75;Italia;Altro comune italiano;34
2003;Maschi;75;Italia;Milano;174
2003;Maschi;76;Italia;Altro comune italiano;50
2003;Maschi;76;Italia;Estero;1
2003;Maschi;76;Italia;Milano;190
2003;Maschi;76;Regno Unito;Estero;1
2003;Maschi;77;Argentina;Estero;1
2003;Maschi;77;Italia;Altro comune italiano;31
2003;Maschi;77;Italia;Milano;185
2003;Maschi;77;Somalia;Milano;1
2003;Maschi;77;Stati Uniti d'America;Milano;1
2003;Maschi;78;Italia;Altro comune italiano;39
2003;Maschi;78;Italia;Milano;194
2003;Maschi;79;Italia;Altro comune italiano;34
2003;Maschi;79;Italia;Estero;1
2003;Maschi;79;Italia;Milano;186
2003;Maschi;80;Italia;Altro comune italiano;29
2003;Maschi;80;Italia;Milano;190
2003;Maschi;80;Paesi Bassi;Milano;1
2003;Maschi;81;Italia;Altro comune italiano;28
2003;Maschi;81;Italia;Milano;211
2003;Maschi;82;Italia;Altro comune italiano;39
2003;Maschi;82;Italia;Milano;198
2003;Maschi;83;Italia;Altro comune italiano;19
2003;Maschi;83;Italia;Milano;192
2003;Maschi;83;Stati Uniti d'America;Estero;1
2003;Maschi;84;Italia;Altro comune italiano;17
2003;Maschi;84;Italia;Milano;106
2003;Maschi;85;Italia;Altro comune italiano;12
2003;Maschi;85;Italia;Milano;113
2003;Maschi;86;Bulgaria;Estero;1
2003;Maschi;86;Italia;Altro comune italiano;18
2003;Maschi;86;Italia;Milano;104
2003;Maschi;86;Perù;Milano;1
2003;Maschi;87;Italia;Altro comune italiano;18
2003;Maschi;87;Italia;Milano;118
2003;Maschi;88;Italia;Altro comune italiano;15
2003;Maschi;88;Italia;Milano;167
2003;Maschi;89;Francia;Milano;1
2003;Maschi;89;Italia;Altro comune italiano;23
2003;Maschi;89;Italia;Milano;153
2003;Maschi;90;Italia;Altro comune italiano;14
2003;Maschi;90;Italia;Milano;130
2003;Maschi;90;Svezia;Estero;1
2003;Maschi;91;Italia;Altro comune italiano;15
2003;Maschi;91;Italia;Milano;122
2003;Maschi;92;Iran;Milano;1
2003;Maschi;92;Italia;Altro comune italiano;7
2003;Maschi;92;Italia;Milano;89
2003;Maschi;93;Italia;Altro comune italiano;6
2003;Maschi;93;Italia;Milano;75
2003;Maschi;94;Italia;Altro comune italiano;9
2003;Maschi;94;Italia;Milano;62
2003;Maschi;95;Italia;Altro comune italiano;5
2003;Maschi;95;Italia;Milano;29
2003;Maschi;96;Italia;Altro comune italiano;2
2003;Maschi;96;Italia;Milano;28
2003;Maschi;97;Italia;Altro comune italiano;3
2003;Maschi;97;Italia;Milano;19
2003;Maschi;98;Italia;Milano;8
2003;Maschi;99;Italia;Milano;9
2003;Maschi;100;Italia;Altro comune italiano;1
2003;Maschi;100;Italia;Milano;5
2003;Maschi;101;Italia;Milano;3
2003;Maschi;101;Turchia;Milano;1
2003;Maschi;102;Italia;Milano;2
2003;Maschi;104;Italia;Milano;1
2004;Femmine;0;Ecuador;Estero;1
2004;Femmine;0;Filippine;Milano;1
2004;Femmine;0;Italia;Altro comune italiano;21
2004;Femmine;0;Italia;Milano;17
2004;Femmine;0;Romania;Estero;1
2004;Femmine;1;Italia;Altro comune italiano;2
2004;Femmine;3;Eritrea;Estero;1
2004;Femmine;3;Italia;Milano;1
2004;Femmine;4;Italia;Altro comune italiano;2
2004;Femmine;5;Bosnia-Erzegovina;Altro comune italiano;1
2004;Femmine;5;Italia;Milano;1
2004;Femmine;8;Italia;Altro comune italiano;1
2004;Femmine;9;Italia;Milano;1
2004;Femmine;12;Italia;Altro comune italiano;1
2004;Femmine;14;Italia;Estero;1
2004;Femmine;15;Italia;Altro comune italiano;2
2004;Femmine;16;Italia;Altro comune italiano;2
2004;Femmine;16;Italia;Estero;1
2004;Femmine;17;Italia;Altro comune italiano;1
2004;Femmine;17;Romania;Estero;1
2004;Femmine;18;Italia;Altro comune italiano;3
2004;Femmine;18;Italia;Milano;2
2004;Femmine;18;Libia;Estero;1
2004;Femmine;19;Italia;Altro comune italiano;1
2004;Femmine;19;Moldova;Estero;1
2004;Femmine;20;Italia;Milano;1
2004;Femmine;21;Italia;Altro comune italiano;2
2004;Femmine;23;Italia;Altro comune italiano;2
2004;Femmine;23;Italia;Milano;1
2004;Femmine;24;Filippine;Estero;1
2004;Femmine;24;Italia;Altro comune italiano;3
2004;Femmine;24;Italia;Milano;3
2004;Femmine;25;Filippine;Estero;1
2004;Femmine;25;Italia;Altro comune italiano;1
2004;Femmine;25;Italia;Milano;2
2004;Femmine;25;Nigeria;Estero;1
2004;Femmine;25;Romania;Estero;1
2004;Femmine;26;Italia;Altro comune italiano;3
2004;Femmine;26;Italia;Milano;1
2004;Femmine;26;Romania;Estero;1
2004;Femmine;27;Italia;Altro comune italiano;1
2004;Femmine;27;Italia;Milano;2
2004;Femmine;28;Italia;Altro comune italiano;1
2004;Femmine;28;Italia;Milano;1
2004;Femmine;28;Perù;Altro comune italiano;1
2004;Femmine;28;Romania;Estero;1
2004;Femmine;29;Italia;Milano;1
2004;Femmine;30;Italia;Altro comune italiano;1
2004;Femmine;30;Italia;Milano;4
2004;Femmine;30;Russa, Federazione;Milano;1
2004;Femmine;31;Italia;Milano;1
2004;Femmine;32;Italia;Altro comune italiano;2
2004;Femmine;32;Italia;Estero;1
2004;Femmine;32;Italia;Milano;1
2004;Femmine;33;El Salvador;Estero;1
2004;Femmine;33;Italia;Altro comune italiano;3
2004;Femmine;33;Italia;Milano;3
2004;Femmine;33;Ungheria;Estero;1
2004;Femmine;34;Italia;Altro comune italiano;2
2004;Femmine;35;Francia;Estero;1
2004;Femmine;35;Italia;Altro comune italiano;7
2004;Femmine;35;Italia;Milano;3
2004;Femmine;36;Italia;Altro comune italiano;2
2004;Femmine;36;Italia;Milano;4
2004;Femmine;37;Ecuador;Milano;1
2004;Femmine;37;Italia;Altro comune italiano;5
2004;Femmine;37;Italia;Milano;3
2004;Femmine;38;Giappone;Milano;1
2004;Femmine;38;Italia;Altro comune italiano;4
2004;Femmine;38;Italia;Milano;5
2004;Femmine;39;Italia;Altro comune italiano;1
2004;Femmine;39;Italia;Milano;4
2004;Femmine;40;Ecuador;Milano;1
2004;Femmine;40;Italia;Altro comune italiano;7
2004;Femmine;40;Italia;Milano;4
2004;Femmine;40;Paesi Bassi;Altro comune italiano;1
2004;Femmine;40;Uruguay;Milano;1
2004;Femmine;41;Italia;Altro comune italiano;1
2004;Femmine;41;Italia;Milano;5
2004;Femmine;41;Romania;Estero;1
2004;Femmine;42;Italia;Altro comune italiano;3
2004;Femmine;42;Italia;Milano;6
2004;Femmine;43;Italia;Altro comune italiano;5
2004;Femmine;43;Italia;Milano;5
2004;Femmine;44;Italia;Altro comune italiano;6
2004;Femmine;44;Italia;Milano;5
2004;Femmine;44;Somalia;Milano;1
2004;Femmine;45;Eritrea;Estero;1
2004;Femmine;45;Italia;Altro comune italiano;7
2004;Femmine;45;Italia;Milano;7
2004;Femmine;46;Italia;Altro comune italiano;7
2004;Femmine;46;Italia;Milano;11
2004;Femmine;47;Ecuador;Altro comune italiano;1
2004;Femmine;47;Italia;Altro comune italiano;2
2004;Femmine;47;Italia;Milano;7
2004;Femmine;48;Albania;Altro comune italiano;1
2004;Femmine;48;Italia;Altro comune italiano;3
2004;Femmine;48;Italia;Milano;15
2004;Femmine;49;Filippine;Milano;1
2004;Femmine;49;Italia;Altro comune italiano;7
2004;Femmine;49;Italia;Milano;6
2004;Femmine;50;Italia;Altro comune italiano;4
2004;Femmine;50;Italia;Milano;14
2004;Femmine;51;Albania;Milano;1
2004;Femmine;51;Italia;Altro comune italiano;4
2004;Femmine;51;Italia;Milano;15
2004;Femmine;51;Regno Unito;Altro comune italiano;1
2004;Femmine;52;Giappone;Milano;1
2004;Femmine;52;Italia;Altro comune italiano;7
2004;Femmine;52;Italia;Milano;13
2004;Femmine;52;Venezuela;Estero;1
2004;Femmine;53;Italia;Altro comune italiano;2
2004;Femmine;53;Italia;Estero;1
2004;Femmine;53;Italia;Milano;19
2004;Femmine;54;Filippine;Milano;1
2004;Femmine;54;Italia;Altro comune italiano;12
2004;Femmine;54;Italia;Milano;15
2004;Femmine;54;Perù;Milano;1
